## instructions available at: https://asicseer.com/page/kb#writing-config

global custompanel JARND0bit049

global poolname1 192.168.77.12:1043
global username1 skyminer
global poolpass1 123
global sendworker1 yes
global poolname2 192.168.77.13:1043
global username2 skyminer
global poolpass2 123
global sendworker2 yes
global poolname3 91.221.41.35:7913
global username3 skyminer
global poolpass3 123
global sendworker3 yes

global asicboost yes
global autotune yes
global maxwatts 1500

global autoupdate yes
global allowed yes
global maxtemp 90
global fanspeed 95
global fansaver 65

# global retune 1
# global rebootasic 1
# global resetasic 1
# global panelpass gj83Nkgikg

# group=rowc rebootasic 1
# group=rowd allowed no

## vlans
vlan 10.0.216.140-140
vlan 10.0.216.141-141
vlan 10.0.216.142-142
vlan 10.0.216.143-143
vlan 10.0.216.150-150
vlan 10.0.216.151-151
vlan 10.0.216.152-152
vlan 10.0.216.153-153
vlan 10.0.216.154-154
vlan 10.0.216.155-155
vlan 10.0.216.156-156
vlan 10.0.216.158-158
vlan 10.0.216.159-159
vlan 10.0.216.161-161
vlan 10.0.216.163-163
vlan 10.0.216.164-164
vlan 10.0.216.165-165
vlan 10.0.216.167-167
vlan 10.0.216.168-168
vlan 10.0.216.169-169
vlan 10.0.216.171-171
vlan 10.0.216.172-172
vlan 10.0.216.175-175
vlan 10.0.216.176-176
vlan 10.0.216.177-177
vlan 10.0.216.178-178
vlan 10.0.216.182-182
vlan 10.0.216.183-183
vlan 10.0.216.184-184
vlan 10.0.216.185-185
vlan 10.0.216.193-193
vlan 10.0.216.194-194
vlan 10.0.216.196-196
vlan 10.0.216.197-197
vlan 10.0.216.198-198
vlan 10.0.216.200-200
vlan 10.0.216.201-201
vlan 10.0.216.202-202
vlan 10.0.216.203-203
vlan 10.0.216.204-204
vlan 10.0.216.205-205
vlan 10.0.216.206-206
vlan 10.0.216.207-207
vlan 10.0.216.211-211
vlan 10.0.216.212-212
vlan 10.0.216.216-216
vlan 10.0.216.217-217
vlan 10.0.216.219-219
vlan 10.0.216.220-220
vlan 10.0.216.222-222
vlan 10.0.216.223-223
vlan 10.0.216.225-225
vlan 10.0.216.226-226
vlan 10.0.216.229-229
vlan 10.0.216.230-230
vlan 10.0.216.233-233
vlan 10.0.216.234-234
vlan 10.0.216.235-235
vlan 10.0.216.238-238
vlan 10.0.216.239-239
vlan 10.0.216.240-240
vlan 10.0.217.8-8
vlan 10.0.217.10-10
vlan 10.0.217.17-17
vlan 10.0.217.19-19
vlan 10.0.217.20-20
vlan 10.0.217.21-21
vlan 10.0.217.23-23
vlan 10.0.217.25-25
vlan 10.0.217.26-26
vlan 10.0.217.30-30
vlan 10.0.217.32-32
vlan 10.0.217.38-38
vlan 10.0.217.41-41
vlan 10.0.217.43-43
vlan 10.0.217.44-44
vlan 10.0.217.48-48
vlan 10.0.217.49-49
vlan 10.0.218.155-155
vlan 10.0.218.156-156
vlan 10.0.218.162-162
vlan 10.0.218.167-167
vlan 10.0.223.1-1
vlan 10.0.223.8-8
vlan 10.0.223.9-9
vlan 10.0.223.10-10
vlan 10.0.223.11-11
vlan 10.0.223.12-12
vlan 10.0.223.13-13
vlan 10.0.223.16-16
vlan 10.0.223.17-17
vlan 10.0.223.18-18
vlan 10.0.223.21-21
vlan 10.0.223.22-22
vlan 10.0.223.24-24
vlan 10.0.223.25-25
vlan 10.0.223.28-28
vlan 10.0.223.31-31
vlan 10.0.223.34-34
vlan 10.0.223.38-38
vlan 10.0.223.39-39
vlan 10.0.223.40-40
vlan 10.0.223.41-41
vlan 10.0.223.42-42
vlan 10.0.223.43-43
vlan 10.0.223.44-44
vlan 10.0.223.46-46
vlan 10.0.223.47-47
vlan 10.0.223.49-49
vlan 10.0.223.50-50
vlan 10.0.223.51-51
vlan 10.0.223.53-53
vlan 10.0.223.54-54
vlan 10.0.223.58-58
vlan 10.0.223.59-59
vlan 10.0.223.60-60
vlan 10.0.223.62-62
vlan 10.0.223.64-64
vlan 10.0.223.66-66
vlan 10.0.223.67-67
vlan 10.0.223.69-69
vlan 10.0.223.70-70
vlan 10.0.223.71-71
vlan 10.0.223.72-72
vlan 10.0.223.74-74
vlan 10.0.223.76-76
vlan 10.0.223.78-78
vlan 10.0.223.79-79
vlan 10.0.223.81-81
vlan 10.0.223.82-82
vlan 10.0.223.84-84
vlan 10.0.223.85-85
vlan 10.0.223.87-87
vlan 10.0.223.89-89
